title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
Adidas Superstar Trainers,adidas,white,Unisex,Shoe,20.0,80.0,8.5,Unknown,Unknown,Shoes,356
Adidas fortarun blue and purple size 3.5 and 4 youth kids sneakers please read,adidas,blue,Unisex,Shoe,15.0,60.0,3.5G,nwt,Unknown,Other,17
Adidas Jacket Vintage,adidas,blue,Unisex,Jacket,17.0,17.0,M,Unknown,Unknown,Jackets & Blazers,921
Adidas Child girls  black pink Goletto VIII Firm Ground Soccer cleats size 1.5,adidas,Unknown,Unisex,Other,16.0,45.0,1.5G,Unknown,Unknown,Other,16
Adidas White and Red Sneakers with Velcro Straps Hello Kitty Size 1,adidas,red,Unisex,Shoe,17.0,17.0,1G,not_nwt,Unknown,Other,13
Adidas cropped sweatshirt - rare,adidas,Unknown,Unisex,Other,25.0,125.0,XL,Unknown,Unknown,Tops,33
Adidas | dark red and orange sweatpants joggers - M,adidas,red,Unisex,Other,16.0,16.0,M,not_nwt,Unknown,Pants,246
Adidas Her Studio London Dress,adidas,white,Unisex,Other,19.0,19.0,L,Unknown,Unknown,Dresses & Skirts,146
Adidas men's T-shirt size large nwot,adidas,Unknown,Male,Shirt,12.0,25.0,L,not_nwt,Unknown,Other,164
New adidas Adilette Shower Slides Women's Gray,adidas,red,Male,Other,31.0,50.0,Women 8 / Men 6,nwt,Unknown,Shoes,539
New adidas Adilette Shower Slides Men's Gray​,adidas,red,Male,Other,31.0,50.0,8,nwt,Unknown,Other,528
Adidas Ultraboost 5.0 Mens Ligthweight Comfort Running Shoes Green Orange SZ 11,adidas,Unknown,Unisex,Shoe,125.0,125.0,11,Unknown,Unknown,Other,185
ADIDAS RUNNING SHORTS SIZE- LARGE,adidas,Unknown,Unisex,Other,10.0,55.0,L,Unknown,Unknown,Pants,6
Adidas Swift Run X White Pink Women's Shoes,adidas,Unknown,Male,Other,50.0,120.0,7.5,Unknown,Unknown,Shoes,84
Adidas White Torsion Aditex Size 5 1/2 Golf Shoes,adidas,white,Unisex,Shoe,40.0,200.0,5.5,not_nwt,Unknown,Shoes,189
