title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
Converse Chuck Taylor All Star Core Oxford Sneaker Optical White Womens 8 Mens 6,Converse,red,Unisex,Other,34.0,60.0,8,Unknown,Unknown,Shoes,0
Converse Women's Lugged Leather High Top Shoes sz 9,Converse,Unknown,Male,Shoe,48.0,48.0,9,not_nwt,Unknown,Shoes,119
Converse Crafted Leather Boots in Dark Brown Size 7,Converse,brown,Male,Shoe,55.0,55.0,7,not_nwt,Unknown,Shoes,19
Converse Peach Canvas All Stars Women's Size 7.5,Converse,Unknown,Male,Other,35.0,35.0,7.5,not_nwt,Unknown,Shoes,5
Converse Platform Sneakers Women's Size 8,Converse,Unknown,Male,Shoe,50.0,50.0,8,not_nwt,Unknown,Shoes,12
CONVERSE Black Nylon Hightops Women's Size 9,Converse,black,Male,Shoe,39.0,39.0,9,not_nwt,Unknown,Shoes,33
Converse Womens Chuck Taylor All Star Lugged 2.0 172057C Black Sneakers Size 6.5,Converse,black,Male,Shoe,24.0,120.0,6.5,not_nwt,Unknown,Shoes,14
Converse Chuck Taylor All Star Lo Womens Sneakers size 7 Gray Classic Retro,Converse,Unknown,Male,Shoe,20.0,60.0,7,not_nwt,Unknown,Shoes,20
Converse Chuck Taylor All Star Low Top Blue Men’s Size 7 Women’s Size 9,Converse,blue,Male,Shoe,24.0,99.0,9,not_nwt,Unknown,Shoes,144
LEATHER CONVERSE JP OX BRAND NEW,Converse,Unknown,Unisex,Other,60.0,999.0,5.5,nwt,Unknown,Shoes,1090
CONVERSE RUN STAR HIKE BRAND 🔥 NEW,Converse,Unknown,Unisex,Other,95.0,999.0,7.5,nwt,Unknown,Shoes,174
Converse Womens Run Star Motion Platform Sneakers Leather Upper Size 11,Converse,Unknown,Male,Shoe,117.0,117.0,11,nwt,Unknown,Shoes,271
