title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
GUC👟  Nike Air Jordan Delta 2 'Light Bone/Black’ Shoes SZ-8,Nike,black,Male,Shoe,35.0,130.0,8,not_nwt,Unknown,Shoes,79
Nike Air Max Plus 1.5,Nike,blue,Male,Shoe,40.0,40.0,7.5,Unknown,Unknown,Shoes,6
Nike Sunday Protect Blue Water Sandals,Nike,blue,Unisex,Other,12.0,12.0,6BB,Unknown,Unknown,Other,248
Nike Kids White Sneakers,Nike,white,Unisex,Shoe,18.0,18.0,8B,Unknown,Unknown,Other,46
Vintage NIKE USA Dream Team Basketball Jersey Larry Bird XL,Nike,red,Unisex,Other,30.0,75.0,XL,Unknown,Unknown,Other,0
Fordham University Nike Dri Fit Maroon T-Shirt Large,Nike,Unknown,Unisex,Shirt,20.0,45.0,L,Unknown,Unknown,Other,126
Nike dri-fit black mens short sleeve shirt excellent condition size medium,Nike,black,Male,Shirt,10.0,10.0,M,not_nwt,Unknown,Other,57
Nike Court Legacy Mule Sneakers Sz 7 New,Nike,Unknown,Unisex,Shoe,32.0,99.0,7,nwt,Unknown,Shoes,6
Kids' Nike Air Goadome Boots,Nike,black,Unisex,Shoe,40.0,100.0,2BB,not_nwt,Unknown,Other,944
Nike Air Max 270,Nike,white,Unisex,Shoe,23.0,100.0,1BB,not_nwt,Unknown,Other,7
Stunning Nike Air Jordan,Nike,Unknown,Unisex,Other,39.0,130.0,11.5,Unknown,Unknown,Other,29
Nike Dri-Fit NFL On Field Apparel 1/2 Zip SF 49ers Size XXL Color Black NWT,Nike,black,Male,Other,42.0,65.0,XXL,nwt,Unknown,Other,37
Nike Therma-Fit Iowa State Hoodie Color Black Size Medium,Nike,black,Male,Other,25.0,75.0,M,not_nwt,Unknown,Other,59
Men’s Nike Grey Just Run Long Sleeved Shirt,Nike,white,Male,Shirt,9.0,9.0,XL,Unknown,Unknown,Other,415
Nike PG 1 size 11,Nike,black,Unisex,Shoe,120.0,300.0,11,not_nwt,Unknown,Other,720
Nike women’s Juvenate size 8 running black,Nike,black,Male,Other,35.0,140.0,8,Unknown,Unknown,Shoes,15
Nike Vapor 9.5 Tour athletic shoes,Nike,Unknown,Unisex,Shoe,52.0,52.0,9,not_nwt,Unknown,Shoes,34
Nike Men's Benassi Solarsoft,Nike,red,Male,Other,90.0,200.0,11,Unknown,Unknown,Other,76
Nike Therma-Fit Gray Sweats,Nike,gray,Unisex,Other,18.0,18.0,L,Unknown,Unknown,Other,10
Nike Ladies size 8 White w/ pink Logo Vented Fabric Running Shoes Sneakers,Nike,white,Unisex,Shoe,30.0,30.0,8,not_nwt,Unknown,Shoes,52
Nike Air Zoom Pegasus 38 Champagne/White-Barely Rose Women's Size US 11,Nike,red,Unisex,Other,37.0,37.0,11,not_nwt,Unknown,Shoes,104
Nike Mens Short Sleeve Dri-Fit Graphic Printed Tee Blue and Gray Medium,Nike,Unknown,Male,Other,4.0,4.0,M,Unknown,Unknown,Other,8
Nike Court Legacy Lift Shoes,Nike,Unknown,Unisex,Other,10.0,90.0,7.5,Unknown,Unknown,Shoes,0
Nike Court Legacies Shoes,Nike,Unknown,Unisex,Other,10.0,55.0,7.5,Unknown,Unknown,Shoes,0
