title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
"Adidas Run 70s, size 8 (fits like 9)",adidas,Unknown,Unisex,Other,51.0,80.0,8,Unknown,Unknown,Shoes,92
Adidas Cloudform nwot Sz 8.5 white and pastel,adidas,white,Unisex,Other,32.0,69.0,8.5,Unknown,Unknown,Shoes,231
⚪️ADIDAS Women’s Slide On Sandals Size 7,adidas,Unknown,Unisex,Other,15.0,49.0,7,not_nwt,Unknown,Shoes,23
Adidas Primegreen Sneaker size 10,adidas,green,Unisex,Shoe,22.0,189.0,10,Unknown,Unknown,Other,161
NEW Adidas Nizza Trefoil Black Sneaker Womens 11,adidas,black,Male,Shoe,127.0,999.0,11,nwt,Unknown,Shoes,164
Nike Free 👟,Nike Free,Unknown,Unisex,Other,49.0,49.0,8,Unknown,Unknown,Shoes,269
Nike 7.5 Womens Blazer Mid Jumbo White Black New DQ1471-100,Nike,black,Male,Other,89.0,115.0,7.5,nwt,Unknown,Shoes,72
Nike Size 10 Women Blazer Mid’77  Vintage Cacao Wow New DV7006-200,Nike,Unknown,Male,Other,69.0,110.0,10,nwt,Unknown,Shoes,10
COPY - Nike Free women shoes,Nike,Unknown,Male,Shoe,18.0,18.0,8,Unknown,Unknown,Shoes,64
Drake Certified Lover Boy Nike Cherub TShirt Large,Nike,white,Unisex,Shirt,79.0,79.0,L,ret,Unknown,Other,75
Drake X Nike Certified Lover Boy Rose TShirt Large,Nike,black,Unisex,Other,70.0,70.0,L,ret,Unknown,Other,21
Nike Slides,Nike,Unknown,Unisex,Other,17.0,35.0,13,not_nwt,Unknown,Other,1
Nike Baseball/Softball Coaching Turf Sneakers,Nike,Unknown,Unisex,Other,35.0,100.0,13,not_nwt,Unknown,Other,44
Nike AIRMAX,Nike,green,Unisex,Other,73.0,160.0,12.5,not_nwt,Unknown,Other,3
Nike velcro top slides,Nike,Unknown,Male,Shirt,20.0,55.0,8,not_nwt,Unknown,Shoes,7
Nike air max green and white size 9,Nike,green,Unisex,Other,10.0,80.0,9,not_nwt,Unknown,Shoes,1356
Nike Women's Free Metcon 3 | Aurora Green | Size 9.5 | CJ6314 303,Nike,green,Male,Other,72.0,72.0,9.5,not_nwt,Unknown,Shoes,257
Nike Presto Extreme (GS) 870022 606 Girls Kids Youth Sneakers Shoes Size 5Y GUC,Nike,Unknown,Unisex,Shoe,39.0,39.0,5G,not_nwt,Unknown,Other,193
Nike Men's Downshifter Black/White Anthracite Shoes (AR4946-003) Size 13,Nike,black,Unisex,Shoe,30.0,30.0,13,not_nwt,Unknown,Other,115
Nike Downshifter 12 Men's Running Shoes 8,Nike,black,Male,Shoe,56.0,100.0,8,nwt,Unknown,Other,189
Nike Dri-Fit Medium T Shirt Short Sleeve Blue Stripes Exc. Cond.,Nike,blue,Unisex,Shirt,22.0,22.0,M,not_nwt,Unknown,Other,37
Nike Tee Dri-Fit Men's Size Medium Blue Short Sleeve T shirt Crew Neck,Nike,blue,Male,Shirt,15.0,15.0,M,not_nwt,Unknown,Other,37
Nike Miami Hurricanes VTG #18 Reversible Basketball Jersey Orange Green Large,Nike Team,green,Unisex,Other,50.0,50.0,L,not_nwt,Unknown,Other,52
Vintage Y2K Silver Tag Nike Sphere Dry Long Sleeve Shirt Blue Size XL,Nike,blue,Unisex,Shirt,15.0,15.0,XL,not_nwt,Unknown,Other,24
Nike Unisex Hoodie Pullover Medium Dark Gray Excellent Condition Drawstring Hood,Nike,gray,Unisex,Other,14.0,14.0,M,not_nwt,Unknown,Other,52
GUC👟  Nike Air Jordan Delta 2 'Light Bone/Black’ Shoes SZ-8,Nike,black,Male,Shoe,35.0,130.0,8,not_nwt,Unknown,Shoes,79
Nike Air Max Plus 1.5,Nike,blue,Male,Shoe,40.0,40.0,7.5,Unknown,Unknown,Shoes,6
Nike Sunday Protect Blue Water Sandals,Nike,blue,Unisex,Other,12.0,12.0,6BB,Unknown,Unknown,Other,248
Nike Kids White Sneakers,Nike,white,Unisex,Shoe,18.0,18.0,8B,Unknown,Unknown,Other,46
Converse All Star sneakers,Converse,gray,Unisex,Shirt,20.0,55.0,12,not_nwt,Unknown,Other,96
Chuck Taylor ALL STAR Shore Line Knit,Converse,Unknown,Unisex,Shoe,30.0,65.0,7,Unknown,Unknown,Shoes,4
Levi’s Red Women's Sneakers,Converse,red,Male,Shoe,16.0,38.0,8.5,Unknown,Unknown,Shoes,1
Converse Sneakers,Converse,Unknown,Male,Shoe,12.0,60.0,8,Unknown,Unknown,Shoes,0
High Top Platform Converse,Converse,Unknown,Unisex,Shoe,38.0,100.0,8,Unknown,Unknown,Shoes,3
Adidas  climalite women leggings,adidas,black,Male,Other,22.0,22.0,M,Unknown,Unknown,Pants,303
Men's basketball shoes adidas zoone boost  9.5 new,adidas,Unknown,Unisex,Other,50.0,200.0,9.5,nwt,Unknown,Other,1338
Mens Adidas white with red stripes suade on toe,adidas,red,Male,Shoe,40.0,120.0,10,not_nwt,Unknown,Other,478
Adidas hoodie black XL,adidas,black,Unisex,Other,19.0,19.0,XL,nwt,Unknown,Tops,615
